EcologyId,SpecCode,StockCode,EcologyRefNo,autoctr,Entered,Dateentered,Modified,Datemodified,Expert,Datechecked,TS,Schooling,Shoaling,Solitary
2655,4696,4914,2058,2655,574,2000-11-08 00:00:00+00:00,309,2004-09-16 00:00:00+00:00,574,2000-11-24 00:00:00+00:00,,,,
3187,5494,5772,4833,3187,309,2002-10-25 00:00:00+00:00,,2013-11-15 00:00:00+00:00,,,,,,
4689,8607,8922,5651,4689,34,2000-03-29 00:00:00+00:00,,2000-03-29 00:00:00+00:00,,,,,,
4763,8769,9091,3203,4763,574,2000-12-12 00:00:00+00:00,574,2001-03-05 00:00:00+00:00,574,2001-03-05 00:00:00+00:00,,,,
5006,9275,9597,37065,5006,574,2001-03-05 00:00:00+00:00,309,2005-06-30 00:00:00+00:00,,,,,,
5019,9343,9665,37065,5019,574,2001-03-05 00:00:00+00:00,309,2007-09-13 00:00:00+00:00,,,,,,
5020,9346,9668,6868,5020,34,2000-08-05 00:00:00+00:00,,2000-08-05 00:00:00+00:00,,,,,,
5023,9358,9680,6868,5023,34,2000-08-04 00:00:00+00:00,,2000-08-04 00:00:00+00:00,,,,,,
3756,9419,9742,7248,3756,574,2000-12-14 00:00:00+00:00,574,2001-03-05 00:00:00+00:00,574,2001-03-05 00:00:00+00:00,,,,
3765,9507,9830,3202,3765,574,2000-12-14 00:00:00+00:00,,2000-12-14 00:00:00+00:00,,,,,,
3766,9510,9833,3202,3766,574,2000-12-14 00:00:00+00:00,,2000-12-14 00:00:00+00:00,,,,,,
12502,10057,10380,117808,12502,2495,2018-04-17 00:00:00+00:00,,2018-04-17 00:00:00+00:00,,,,,,
9200,10063,10386,52177,9200,309,2005-07-21 00:00:00+00:00,309,2005-07-21 00:00:00+00:00,,,,,,
5108,10124,10447,9497,5108,34,1997-04-08 00:00:00+00:00,1472,2014-09-29 00:00:00+00:00,,,,,,
5230,10493,10815,5259,5230,574,2000-12-18 00:00:00+00:00,,2000-12-18 00:00:00+00:00,,,,,,
5292,10713,11036,27297,5292,1,1998-10-02 00:00:00+00:00,309,2004-09-28 00:00:00+00:00,,,,,,
5444,11134,11458,7248,5444,574,2001-02-08 00:00:00+00:00,,2001-02-08 00:00:00+00:00,,,,,,
5493,11303,11628,37065,5493,574,2001-03-05 00:00:00+00:00,574,2001-03-05 00:00:00+00:00,574,2001-03-05 00:00:00+00:00,,,,
4864,11693,12019,12693,4864,34,2000-05-09 00:00:00+00:00,2,2015-04-14 00:00:00+00:00,,,,,,
5428,13619,13725,6028,5428,574,2001-02-09 00:00:00+00:00,10,2020-10-29 00:00:00+00:00,,,,,,
6216,22967,18232,12693,6216,393,2000-10-06 00:00:00+00:00,,2000-10-06 00:00:00+00:00,,,,,,
7036,26829,20991,12693,7036,393,2000-10-06 00:00:00+00:00,,2000-10-06 00:00:00+00:00,,,,,,
11594,11693,47060,12693,11594,2,2015-04-14 00:00:00+00:00,,2015-04-14 00:00:00+00:00,,,,,,
12857,58658,48380,80395,12857,675,2020-01-14 22:05:31+00:00,,2020-01-14 22:05:31+00:00,,,,,,
8803,61905,51819,52314,8803,14,2004-11-25 00:00:00+00:00,,2004-11-25 00:00:00+00:00,,,,,,
8804,61924,51821,52314,8804,14,2004-11-25 00:00:00+00:00,,2004-11-25 00:00:00+00:00,,,,,,
8805,61930,51832,52314,8805,14,2004-11-25 00:00:00+00:00,,2004-11-25 00:00:00+00:00,,,,,,
8807,61929,51834,52314,8807,14,2004-11-25 00:00:00+00:00,,2004-11-25 00:00:00+00:00,,,,,,
8806,61927,51835,52314,8806,14,2004-11-25 00:00:00+00:00,,2004-11-25 00:00:00+00:00,,,,,,
