# Bang ma dong lai — APPEND-ONLY, KHONG BAO GIO danh so lai.
# TradedSpecies cua tung quoc gia tro vao ma nay. Doi ma = lech du lieu moi nuoc.
# Xoa mot dong lai thi DE TRONG ma do, dung don len.
# Khoa theo 'khoa' chu khong theo thu tu dong, nen sap lai cultivars.csv khong anh huong.
khoa,specCode
goldfish-comet,500001
goldfish-shubunkin,500002
goldfish-nymph,500003
goldfish-tamasaba,500004
goldfish-wakin,500005
goldfish-watonai,500006
goldfish-jikin,500007
goldfish-fantail,500008
goldfish-veiltail,500009
goldfish-ryukin,500010
goldfish-pearlscale,500011
goldfish-telescope,500012
goldfish-demekin,500013
goldfish-oranda,500014
goldfish-curled-gill,500015
goldfish-tosakin,500016
goldfish-butterfly-tail,500017
goldfish-meteor,500018
goldfish-eggfish,500019
goldfish-phoenix,500020
goldfish-izumo-nankin,500021
goldfish-pompom,500022
goldfish-lionhead,500023
goldfish-lionchu,500024
goldfish-ranchu,500025
goldfish-shukin,500026
goldfish-celestial-eye,500027
goldfish-bubble-eye,500028
koi-kohaku,500029
koi-taisho-sanshoku,500030
koi-showa-sanshoku,500031
koi-bekko,500032
koi-utsurimono,500033
koi-asagi,500034
koi-shusui,500035
koi-koromo,500036
koi-goshiki,500037
koi-tancho,500038
koi-chagoi,500039
koi-ogon,500040
koi-kumonryu,500041
koi-ochiba,500042
koi-doitsu,500043
koi-kinginrin,500044
koi-butterfly,500045
betta-veiltail,500046
betta-plakat,500047
betta-doubletail,500048
betta-delta,500049
betta-halfmoon,500050
betta-crowntail,500051
betta-rosetail,500052
betta-dumbo,500053
hybrid-blood-parrot,500054
hybrid-flowerhorn,500055
flowerhorn-golden-monkey,500056
flowerhorn-zhen-zhu,500057
flowerhorn-king-kamfa,500058
flowerhorn-kamfamalau,500059
discus-turquoise,500060
discus-pigeon,500061
discus-ghost,500062
discus-cobalt,500063
discus-solid-red,500064
platy-wagtail,500065
platy-hifin,500066
platy-sunset,500067
platy-twin-bar,500068
platy-salt-pepper,500069
