tenBan,loai,tenKhoaHoc,loaiCha,nguon,ghiChu
Cá Bảo Liên Đăng,loai,Notropis chrosomus,,cacanhthaihoa,Rainbow Shiner
Cá Cầu Vồng Tebera,loai,Melanotaenia herbertaxelrodi,,cacanhthaihoa,
Cá Cầu Vồng Madagascar,loai,Bedotia geayi,,cacanhthaihoa,"Tiệm ghi 'gaeyi' — sai chính tả"
Cá Bống Mắt Tre,loai,Brachygobius doriae,,cacanhthaihoa,Bumble Bee Goby
Cá Chuột Ngọc Trai,loai,Brochis splendens,,cacanhthaihoa,Emerald Green Cory
Cá Thủy Tinh,loai,Kryptopterus bicirrhis,,cacanhthaihoa,"Giải luôn 'Cá Thủy Tinh Râu Rồng' của senaquatic"
Cá Cầu Vồng Neon,loai,Melanotaenia praecox,,cacanhthaihoa,
Cá Bút Chì,loai,Crossocheilus siamensis,,cacanhthaihoa,"Vòng 1 tôi đoán là oblongus — tiệm ghi siamensis"
Cá Bống Mút Rong,loai,Gyrinocheilus aymonieri,,cacanhthaihoa,"Tiệm ghi 'Gyrinocheilos' — sai chính tả"
Cá Sóc Đầu Đỏ,loai,Hemigrammus bleheri,,cacanhthaihoa,"GIẢI ĐƯỢC tên treo suốt vòng 1"
Cá Thần Tiên Ai Cập,loai,Pterophyllum altum,,cacanhthaihoa,Altum Angel
Cá Hắc Xá,loai,Epalzeorhynchos bicolor,,cacanhthaihoa,Redtail Shark
Cá Killi Vàng,loai,Pachypanchax playfairii,,cacanhthaihoa,
Cá Lưỡi Rìu,loai,Carnegiella marthae,,cacanhthaihoa,"Tiệm ghi 'Caregiella' — sai chính tả"
Cá Cầu Vồng Xanh,loai,Melanotaenia boesemani,,cacanhthaihoa,
Cá Ong,loai,Leporinus fasciatus,,cacanhthaihoa,Banded Leporinus
Cá Cầu Vồng Vây Dài,loai,Iriatherina werneri,,cacanhthaihoa,Threadfin Rainbow
Cá Nana,loai,Phenacogrammus interruptus,,tra-cuu,"Vòng 1 để chuaTra — cá neon Congo"
Cá Chuột Sao,loai,Corydoras haraldschultzi,,tra-cuu,Vòng 1 để chuaTra
Cá Chuột Julii,loai,Corydoras julii,,tra-cuu,
Cá Chạch Culi,loai,Pangio kuhlii,,senaquatic,Vòng 1 để chuaTra
Cá Dario Scarlet Badis,loai,Dario dario,,senaquatic,Vòng 1 để chuaTra
Cá Mèo Đốm Petricola,loai,Synodontis petricola,,senaquatic,Vòng 1 để chuaTra
Cá Chuột Pygmy,loai,Corydoras pygmaeus,,senaquatic + auraaquatic,Vòng 1 để chuaTra
Cá Otto,loai,Otocinclus vittatus,,kingaqua,Vòng 1 để chuaTra
Cá Chuột Adolfoi,loai,Corydoras adolfoi,,auraaquatic,
Cá Chuột Concolor,loai,Corydoras concolor,,auraaquatic,
Cá Chuột Geryi,loai,Corydoras geryi,,auraaquatic,
Cá Chuột Similis,loai,Corydoras similis,,auraaquatic,
Cá Chuột Robustus,loai,Corydoras robustus,,auraaquatic,
Cá Chuột Spectabilis,loai,Corydoras spectabilis,,auraaquatic,
Cá Chuột Armatus,loai,Corydoras armatus,,auraaquatic,
Cá Chuột Reynoldsi,loai,Corydoras reynoldsi,,auraaquatic,
Cá Chuột Pulcher,loai,Corydoras pulcher,,auraaquatic,
Cá Chuột Orcesi,loai,Corydoras orcesi,,auraaquatic,
Cá Chuột Fowleri,loai,Corydoras fowleri,,auraaquatic,
Cá Chuột Seussi,loai,Corydoras seussi,,auraaquatic,
Cá Chuột Vittatus,loai,Corydoras vittatus,,auraaquatic,
Cá Chuột Pastazensis,loai,Corydoras pastazensis,,auraaquatic,
Cá Chuột Robineae,loai,Corydoras robineae,,auraaquatic,
Cá Chuột Lamberti,loai,Corydoras lamberti,,auraaquatic,
Cá Chuột Gossei,loai,Corydoras gossei,,auraaquatic,
Cá Chuột Agassizi,loai,Corydoras agassizii,,auraaquatic,
Cá Chuột Gomezi,loai,Corydoras gomezi,,auraaquatic,
Cá Chuột Arcuatus,loai,Corydoras arcuatus,,auraaquatic,
Cá Chuột Ambiacus,loai,Corydoras ambiacus,,auraaquatic,
Cá Chuột Leopard,loai,Corydoras leopardus,,auraaquatic,
Cá Chuột Loxozonus,loai,Corydoras loxozonus,,auraaquatic,
Cá Chuột Weitzmani,loai,Corydoras weitzmani,,auraaquatic,
Cá Chuột Reticulatus,loai,Corydoras reticulatus,,auraaquatic,
Cá Chuột Serratus,loai,Corydoras serratus,,auraaquatic,
Cá Chuột Simulatus,loai,Corydoras simulatus,,auraaquatic,
Cá Chuột Barbatus,loai,Corydoras barbatus,,auraaquatic,
Cá Chuột Atropersonatus,loai,Corydoras atropersonatus,,auraaquatic,
Cá Chuột Melini,loai,Corydoras melini,,auraaquatic,
Cá Chuột Metae,loai,Corydoras metae,,auraaquatic,
Cá Chuột Ellisae,loai,Corydoras ellisae,,auraaquatic,
Cá Chuột Septentrionalis,loai,Corydoras septentrionalis,,auraaquatic,
Cá Chuột Rabauti,loai,Corydoras rabauti,,auraaquatic,
Cá Chuột Hastatus,loai,Corydoras hastatus,,auraaquatic,
Cá Chuột Sterbai,loai,Corydoras sterbai,,auraaquatic,
Cá Chuột Aspidoras,loai,Aspidoras pauciradiatus,,auraaquatic + thuysinhtim,
Cá Chuột Brochis Multiradiatus,loai,Brochis multiradiatus,,auraaquatic,
Cá Killi Hoàng Đế,loai,Fundulopanchax sjoestedti,,auraaquatic + thuysinhtim,Blue Gularis
Cá Killi Rachovii,loai,Nothobranchius rachovii,,auraaquatic + kingaqua,
Cá Killi Guentheri,loai,Nothobranchius guentheri,,auraaquatic + kingaqua,
Cá Killi Foerschi,loai,Nothobranchius foerschi,,auraaquatic,
Cá Killi Eggersi,loai,Nothobranchius eggersi,,auraaquatic + kingaqua,
Cá Killi Kilomberoensis,loai,Nothobranchius kilomberoensis,,auraaquatic,
Cá Killi Australe,loai,Aphyosemion australe,,auraaquatic,
Cá Cầu Vồng Parkinsoni,loai,Melanotaenia parkinsoni,,auraaquatic + kingaqua,
Cá Cầu Vồng Splendida,loai,Melanotaenia splendida,,auraaquatic,
